element,n1,n2,n3,n4,sigma_x_pa,sigma_y_pa,tau_xy_pa,sigma_vm_pa
0,0,1,26,25,1.01924193e+06,1.30099216e+05,6.13208773e+04,9.66673722e+05
1,1,2,27,26,9.74247399e+05,-2.74009761e+04,-2.47011295e+04,9.89158519e+05
2,2,3,28,27,1.00176988e+06,5.00540623e+03,1.99973690e+03,9.99282583e+05
3,3,4,29,28,1.00080939e+06,-9.80633240e+02,2.37277519e+02,1.00130016e+06
4,4,5,30,29,9.99895554e+05,2.20731611e+02,3.21297025e+01,9.99785208e+05
5,5,6,31,30,9.99967211e+05,-4.80248102e+01,-3.60290882e+01,9.99991226e+05
6,6,7,32,31,1.00000832e+06,9.52437542e+00,4.78365973e+00,1.00000356e+06
7,7,8,33,32,1.00000040e+06,-2.05140770e+00,8.12837816e-01,1.00000143e+06
8,8,9,34,33,9.99999707e+05,5.42834214e-01,-2.66882791e-01,9.99999436e+05
9,9,10,35,34,9.99999984e+05,-1.49949230e-01,-5.84335490e-04,1.00000006e+06
10,10,11,36,35,1.00000002e+06,3.81692623e-02,7.20974814e-03,9.99999999e+05
11,11,12,37,36,9.99999998e+05,-9.25656569e-03,1.73576157e-04,1.00000000e+06
12,12,13,38,37,1.00000000e+06,2.28459348e-03,-3.32858205e-04,9.99999998e+05
13,13,14,39,38,1.00000000e+06,-5.66652527e-04,-2.33399774e-05,1.00000000e+06
14,14,15,40,39,1.00000000e+06,1.33505689e-04,3.65083938e-05,1.00000000e+06
15,15,16,41,40,1.00000000e+06,-2.94377437e-05,-9.01999603e-06,1.00000000e+06
16,16,17,42,41,1.00000000e+06,6.29185220e-06,1.28401480e-06,1.00000000e+06
17,17,18,43,42,1.00000000e+06,-1.34663213e-06,-2.76843760e-07,1.00000000e+06
18,18,19,44,43,1.00000000e+06,2.84195975e-07,1.12227793e-07,1.00000000e+06
19,19,20,45,44,1.00000000e+06,-5.50068654e-08,-2.27990320e-08,1.00000000e+06
20,20,21,46,45,1.00000000e+06,1.18460197e-08,1.51081357e-09,1.00000000e+06
21,21,22,47,46,1.00000000e+06,-2.50263088e-09,-2.13794374e-09,1.00000000e+06
22,22,23,48,47,1.00000000e+06,-3.34433095e-09,1.48572837e-08,1.00000000e+06
23,23,24,49,48,1.00000000e+06,3.75700368e-09,1.19952897e-08,1.00000000e+06
24,25,26,51,50,9.94414894e+05,1.38468555e+05,4.06692329e+04,9.35575378e+05
25,26,27,52,51,1.00816152e+06,-1.24345170e+04,-1.12391588e+04,1.01462270e+06
26,27,28,53,52,9.97806418e+05,-4.47840279e+03,-3.59300994e+03,1.00007250e+06
27,28,29,54,53,1.00033388e+06,1.20141145e+03,1.45060326e+03,9.99736873e+05
28,29,30,55,54,9.99941409e+05,-8.68809373e+01,-1.22756576e+02,9.99984875e+05
29,30,31,56,55,1.00001801e+06,2.04678883e+01,-1.63535404e+01,1.00000777e+06
30,31,32,57,56,9.99995618e+05,-1.64810091e+01,-6.96747823e-01,1.00000386e+06
