element,n1,n2,n3,n4,sigma_x_pa,sigma_y_pa,tau_xy_pa,sigma_vm_pa
0,0,1,52,51,1.08599631e+06,1.44846763e+05,1.03105040e+05,1.03680155e+06
1,1,2,53,52,9.27980154e+05,-3.66575045e+04,-3.02475212e+04,9.48289573e+05
2,2,3,54,53,9.73755576e+05,8.05384848e+03,-1.73228563e+02,9.69753781e+05
3,3,4,55,54,9.92061602e+05,-1.50847880e+03,-2.20136630e+03,9.92824022e+05
4,4,5,56,55,9.99230125e+05,4.56411183e+02,-9.59028738e+01,9.99002011e+05
5,5,6,57,56,1.00047945e+06,-6.21884008e+01,1.46105184e+01,1.00051054e+06
6,6,7,58,57,1.00033041e+06,1.84336487e+01,5.44978747e+01,1.00032120e+06
7,7,8,59,58,1.00010847e+06,-6.23693164e+00,1.83067563e+01,1.00011159e+06
8,8,9,60,59,1.00001720e+06,-1.03696301e-01,4.28641598e+00,1.00001725e+06
9,9,10,61,60,9.99996388e+05,-5.10791424e-01,-1.56652381e-01,9.99996644e+05
10,10,11,62,61,9.99996316e+05,2.70309802e-02,-5.06487796e-01,9.99996303e+05
11,11,12,63,62,9.99998572e+05,6.78444973e-03,-2.43000233e-01,9.99998569e+05
12,12,13,64,63,9.99999705e+05,1.55782582e-02,-6.21153186e-02,9.99999697e+05
13,13,14,65,64,1.00000001e+06,3.25527701e-03,-4.02023371e-03,1.00000001e+06
14,14,15,66,65,1.00000004e+06,7.88052320e-04,4.97557892e-03,1.00000004e+06
15,15,16,67,66,1.00000002e+06,-1.98231370e-04,2.90214151e-03,1.00000002e+06
16,16,17,68,67,1.00000000e+06,-1.29248233e-04,8.84463424e-04,1.00000000e+06
17,17,18,69,68,1.00000000e+06,-5.62027988e-05,1.14664331e-04,1.00000000e+06
18,18,19,70,69,1.00000000e+06,-9.81588761e-06,-4.16772805e-05,1.00000000e+06
19,19,20,71,70,1.00000000e+06,4.70146196e-07,-3.33995044e-05,1.00000000e+06
20,20,21,72,71,1.00000000e+06,1.56233601e-06,-1.19069213e-05,1.00000000e+06
21,21,22,73,72,1.00000000e+06,6.60042545e-07,-2.17075975e-06,1.00000000e+06
22,22,23,74,73,1.00000000e+06,1.68924387e-07,2.41274077e-07,1.00000000e+06
23,23,24,75,74,1.00000000e+06,7.84996824e-09,3.48524737e-07,1.00000000e+06
24,24,25,76,75,1.00000000e+06,-2.04249991e-08,1.41092884e-07,1.00000000e+06
25,25,26,77,76,1.00000000e+06,-4.43263803e-09,1.74114138e-08,1.00000000e+06
26,26,27,78,77,1.00000000e+06,-3.96696927e-09,-1.07296270e-08,1.00000000e+06
27,27,28,79,78,1.00000000e+06,-4.59986577e-09,3.53473365e-09,1.00000000e+06
28,28,29,80,79,1.00000000e+06,6.80790389e-09,-1.20180944e-08,1.00000000e+06
29,29,30,81,80,1.00000000e+06,-1.94571653e-10,-2.10145616e-08,1.00000000e+06
30,30,31,82,81,1.00000000e+06,-7.73939679e-09,-1.18356565e-08,1.00000000e+06
31,31,32,83,82,1.00000000e+06,1.59030671e-08,-2.06610883e-08,1.00000000e+06
32,32,33,84,83,1.00000000e+06,-1.47058429e-08,-2.70236088e-09,1.00000000e+06
33,33,34,85,84,1.00000000e+06,1.09350864e-08,1.48116742e-08,1.00000000e+06
34,34,35,86,85,1.00000000e+06,-1.04409837e-08,1.00340826e-08,1.00000000e+06
35,35,36,87,86,1.00000000e+06,9.65173719e-09,3.50052655e-09,1.00000000e+06
36,36,37,88,87,1.00000000e+06,-5.23002643e-09,-2.19609581e-08,1.00000000e+06
37,37,38,89,88,1.00000000e+06,1.03825534e-08,-2.68753781e-08,1.00000000e+06
38,38,39,90,89,1.00000000e+06,-1.22260386e-08,-3.39790525e-09,1.00000000e+06
39,39,40,91,90,1.00000000e+06,1.08361974e-08,-3.11284608e-09,1.00000000e+06
40,40,41,92,91,1.00000000e+06,-4.32736044e-09,-1.32951595e-08,1.00000000e+06
41,41,42,93,92,1.00000000e+06,1.11179917e-08,-3.62139163e-08,1.00000000e+06
42,42,43,94,93,1.00000000e+06,-1.05869950e-08,-1.68983073e-08,1.00000000e+06
43,43,44,95,94,1.00000000e+06,1.59187371e-08,-3.19266265e-09,1.00000000e+06
44,44,45,96,95,1.00000000e+06,-1.89356345e-08,1.41275322e-08,1.00000000e+06
45,45,46,97,96,1.00000000e+06,6.83187115e-09,2.23486385e-08,1.00000000e+06
46,46,47,98,97,1.00000000e+06,-7.93440156e-09,1.70009286e-08,1.00000000e+06
47,47,48,99,98,1.00000000e+06,1.73923868e-08,-1.30899169e-08,1.00000000e+06
48,48,49,100,99,1.00000000e+06,-8.73915530e-09,-1.71605617e-08,1.00000000e+06
49,49,50,101,100,1.00000000e+06,3.67570083e-09,-7.21769806e-09,1.00000000e+06
50,51,52,103,102,1.04135267e+06,1.50208884e+05,1.03611270e+05,9.91344320e+05
51,52,53,104,103,9.74926546e+05,-1.60042636e+04,-1.18010868e+04,9.83238875e+05
52,53,54,105,104,9.75564382e+05,-1.36950939e+03,-1.07053291e+04,9.76425930e+05
53,54,55,106,105,9.93949144e+05,3.12603272e+02,-2.59072245e+03,9.93803010e+05
54,55,56,107,106,9.98833312e+05,-4.10169297e+02,-9.82310348e+02,9.99039909e+05
55,56,57,108,107,1.00028552e+06,7.00252105e+01,5.92113169e+01,1.00025052e+06
56,57,58,109,108,1.00023378e+06,-1.46588948e+01,7.58240572e+01,1.00024112e+06
57,58,59,110,109,1.00009168e+06,1.13007990e+01,4.62918828e+01,1.00008604e+06
58,59,60,111,110,1.00001770e+06,3.75966051e-01,1.07735130e+01,1.00001751e+06
59,60,61,112,111,9.99998921e+05,6.29679448e-01,1.03183118e+00,9.99998607e+05
60,61,62,113,112,9.99997417e+05,-1.43062653e-01,-8.75332458e-01,9.99997489e+05
61,62,63,114,113,9.99998859e+05,-4.13185289e-02,-5.07342894e-01,9.99998879e+05
62,63,64,115,114,9.99999718e+05,-2.84969924e-02,-1.62814797e-01,9.99999733e+05
63,64,65,116,115,9.99999989e+05,-3.77037721e-03,-2.21210501e-02,9.99999990e+05
64,65,66,117,116,1.00000003e+06,-6.29286391e-05,6.72696216e-03,1.00000003e+06
65,66,67,118,117,1.00000001e+06,7.14437634e-04,5.88823062e-03,1.00000001e+06
66,67,68,119,118,1.00000000e+06,2.82718466e-04,2.14613100e-03,1.00000000e+06
67,68,69,120,119,1.00000000e+06,7.92609285e-05,4.11439735e-04,1.00000000e+06
68,69,70,121,120,1.00000000e+06,3.20459668e-06,-3.61025836e-05,1.00000000e+06
69,70,71,122,121,1.00000000e+06,-6.11832337e-06,-6.34952756e-05,1.00000000e+06
70,71,72,123,122,1.00000000e+06,-3.66086447e-06,-2.74693844e-05,1.00000000e+06
71,72,73,124,123,1.00000000e+06,-1.06200981e-06,-6.53752408e-06,1.00000000e+06
72,73,74,125,124,1.00000000e+06,-1.35886865e-07,-2.06234605e-07,1.00000000e+06
73,74,75,126,125,1.00000000e+06,5.86200202e-08,5.91064477e-07,1.00000000e+06
74,75,76,127,126,1.00000000e+06,3.37709552e-08,3.00942662e-07,1.00000000e+06
75,76,77,128,127,1.00000000e+06,1.20262639e-08,8.59396370e-08,1.00000000e+06
76,77,78,129,128,1.00000000e+06,1.18301464e-09,-5.26789337e-09,1.00000000e+06
77,78,79,130,129,1.00000000e+06,-2.73722809e-09,-2.77533603e-08,1.00000000e+06
78,79,80,131,130,1.00000000e+06,2.34128354e-10,-3.11626679e-08,1.00000000e+06
