node,x_m,y_m,ux_m,uy_m,u_mag_m
0,-7.11200000e-01,-5.08000000e-02,0.00000000e+00,0.00000000e+00,0.00000000e+00
1,-6.51933333e-01,-5.08000000e-02,6.02147782e-05,4.33889955e-05,7.42187607e-05
2,-5.92666667e-01,-5.08000000e-02,1.18780186e-04,1.48564981e-04,1.90211162e-04
3,-5.33400000e-01,-5.08000000e-02,1.75087633e-04,3.22163066e-04,3.66667042e-04
4,-4.74133333e-01,-5.08000000e-02,2.28655577e-04,5.59637906e-04,6.04547730e-04
5,-4.14866667e-01,-5.08000000e-02,2.79630951e-04,8.58125386e-04,9.02536784e-04
6,-3.55600000e-01,-5.08000000e-02,3.27990912e-04,1.21455423e-03,1.25806201e-03
7,-2.96333333e-01,-5.08000000e-02,3.73736415e-04,1.62587889e-03,1.66828087e-03
8,-2.37066667e-01,-5.08000000e-02,4.16868059e-04,2.08904826e-03,2.13023511e-03
9,-1.77800000e-01,-5.08000000e-02,4.57385628e-04,2.60101310e-03,2.64092233e-03
10,-1.18533333e-01,-5.08000000e-02,4.95289165e-04,3.15872355e-03,3.19731854e-03
11,-5.92666667e-02,-5.08000000e-02,5.30578665e-04,3.75912995e-03,3.79638930e-03
12,0.00000000e+00,-5.08000000e-02,5.63254128e-04,4.39918258e-03,4.43509443e-03
13,5.92666667e-02,-5.08000000e-02,5.93315554e-04,5.07583172e-03,5.11039050e-03
14,1.18533333e-01,-5.08000000e-02,6.20762943e-04,5.78602768e-03,5.81923216e-03
15,1.77800000e-01,-5.08000000e-02,6.45596294e-04,6.52672073e-03,6.55857286e-03
16,2.37066667e-01,-5.08000000e-02,6.67815609e-04,7.29486117e-03,7.32536533e-03
17,2.96333333e-01,-5.08000000e-02,6.87420886e-04,8.08739929e-03,8.11656175e-03
18,3.55600000e-01,-5.08000000e-02,7.04412131e-04,8.90128538e-03,8.92911405e-03
19,4.14866667e-01,-5.08000000e-02,7.18789336e-04,9.73346974e-03,9.75997394e-03
20,4.74133333e-01,-5.08000000e-02,7.30552355e-04,1.05809025e-02,1.06060928e-02
21,5.33400000e-01,-5.08000000e-02,7.39702632e-04,1.14405343e-02,1.14644226e-02
22,5.92666667e-01,-5.08000000e-02,7.46232629e-04,1.23093192e-02,1.23319180e-02
23,6.51933333e-01,-5.08000000e-02,7.50162510e-04,1.31841594e-02,1.32054838e-02
24,7.11200000e-01,-5.08000000e-02,7.51542705e-04,1.40623353e-02,1.40824036e-02
25,-7.11200000e-01,-3.38666667e-02,0.00000000e+00,0.00000000e+00,0.00000000e+00
26,-6.51933333e-01,-3.38666667e-02,3.92280474e-05,3.81215108e-05,5.46999935e-05
27,-5.92666667e-01,-3.38666667e-02,7.91129094e-05,1.44656264e-04,1.64876582e-04
28,-5.33400000e-01,-3.38666667e-02,1.16411387e-04,3.18201488e-04,3.38827091e-04
29,-4.74133333e-01,-3.38666667e-02,1.52170849e-04,5.55912153e-04,5.76362984e-04
30,-4.14866667e-01,-3.38666667e-02,1.86147146e-04,8.54575846e-04,8.74614564e-04
31,-3.55600000e-01,-3.38666667e-02,2.18388047e-04,1.21119377e-03,1.23072486e-03
32,-2.96333333e-01,-3.38666667e-02,2.48884922e-04,1.62270460e-03,1.64168021e-03
33,-2.37066667e-01,-3.38666667e-02,2.77639381e-04,2.08606082e-03,2.10445560e-03
34,-1.77800000e-01,-3.38666667e-02,3.04651084e-04,2.59821234e-03,2.61601216e-03
35,-1.18533333e-01,-3.38666667e-02,3.29920111e-04,3.15610952e-03,3.17330657e-03
36,-5.92666667e-02,-3.38666667e-02,3.53446444e-04,3.75670263e-03,3.77329286e-03
37,0.00000000e+00,-3.38666667e-02,3.75230086e-04,4.39694197e-03,4.41292379e-03
38,5.92666667e-02,-3.38666667e-02,3.95271037e-04,5.07377784e-03,5.08915128e-03
39,1.18533333e-01,-3.38666667e-02,4.13569296e-04,5.78416051e-03,5.79892682e-03
40,1.77800000e-01,-3.38666667e-02,4.30124864e-04,6.52504027e-03,6.53920163e-03
41,2.37066667e-01,-3.38666667e-02,4.44937740e-04,7.29336743e-03,7.30692672e-03
42,2.96333333e-01,-3.38666667e-02,4.58007925e-04,8.08609227e-03,8.09905300e-03
43,3.55600000e-01,-3.38666667e-02,4.69335421e-04,8.90016507e-03,8.91253129e-03
44,4.14866667e-01,-3.38666667e-02,4.78920203e-04,9.73253618e-03,9.74431245e-03
45,4.74133333e-01,-3.38666667e-02,4.86762477e-04,1.05801555e-02,1.05913469e-02
46,5.33400000e-01,-3.38666667e-02,4.92860826e-04,1.14399749e-02,1.14505867e-02
47,5.92666667e-01,-3.38666667e-02,4.97223038e-04,1.23089415e-02,1.23189801e-02
48,6.51933333e-01,-3.38666667e-02,4.99817002e-04,1.31839960e-02,1.31934668e-02
49,7.11200000e-01,-3.38666667e-02,5.00719875e-04,1.40622252e-02,1.40711371e-02
50,-7.11200000e-01,-1.69333333e-02,0.00000000e+00,0.00000000e+00,0.00000000e+00
51,-6.51933333e-01,-1.69333333e-02,1.94041864e-05,3.51031981e-05,4.01093127e-05
52,-5.92666667e-01,-1.69333333e-02,3.94750047e-05,1.42202001e-04,1.47579420e-04
53,-5.33400000e-01,-1.69333333e-02,5.81383360e-05,3.15867819e-04,3.21173699e-04
54,-4.74133333e-01,-1.69333333e-02,7.59967945e-05,5.53663991e-04,5.58855373e-04
55,-4.14866667e-01,-1.69333333e-02,9.29938783e-05,8.52449236e-04,8.57506596e-04
56,-3.55600000e-01,-1.69333333e-02,1.09111711e-04,1.20917680e-03,1.21408975e-03
57,-2.96333333e-01,-1.69333333e-02,1.24360766e-04,1.62080017e-03,1.62556415e-03
58,-2.37066667e-01,-1.69333333e-02,1.38737872e-04,2.08426832e-03,2.08888071e-03
59,-1.77800000e-01,-1.69333333e-02,1.52243745e-04,2.59653189e-03,2.60099135e-03
60,-1.18533333e-01,-1.69333333e-02,1.64878256e-04,3.15454109e-03,3.15884700e-03
61,-5.92666667e-02,-1.69333333e-02,1.76641422e-04,3.75524624e-03,3.75939842e-03
62,0.00000000e+00,-1.69333333e-02,1.87533243e-04,4.39559761e-03,4.39959624e-03
63,5.92666667e-02,-1.69333333e-02,1.97553718e-04,5.07254550e-03,5.07639098e-03
64,1.18533333e-01,-1.69333333e-02,2.06702848e-04,5.78304020e-03,5.78673311e-03
65,1.77800000e-01,-1.69333333e-02,2.14980632e-04,6.52403200e-03,6.52757307e-03
66,2.37066667e-01,-1.69333333e-02,2.22387070e-04,7.29247119e-03,7.29586130e-03
67,2.96333333e-01,-1.69333333e-02,2.28922165e-04,8.08530806e-03,8.08854818e-03
68,3.55600000e-01,-1.69333333e-02,2.34585897e-04,8.89949290e-03,8.90258414e-03
69,4.14866667e-01,-1.69333333e-02,2.39378350e-04,9.73197597e-03,9.73491953e-03
70,4.74133333e-01,-1.69333333e-02,2.43299338e-04,1.05797076e-02,1.05825048e-02
71,5.33400000e-01,-1.69333333e-02,2.46348470e-04,1.14396386e-02,1.14422908e-02
72,5.92666667e-01,-1.69333333e-02,2.48532092e-04,1.23087142e-02,1.23112231e-02
73,6.51933333e-01,-1.69333333e-02,2.49817444e-04,1.31839116e-02,1.31862782e-02
74,7.11200000e-01,-1.69333333e-02,2.50267209e-04,1.40621006e-02,1.40643274e-02
75,-7.11200000e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
76,-6.51933333e-01,0.00000000e+00,1.03471716e-18,3.41213104e-05,3.41213104e-05
77,-5.92666667e-01,0.00000000e+00,2.03324331e-18,1.41368587e-04,1.41368587e-04
78,-5.33400000e-01,0.00000000e+00,2.83025899e-18,3.15093786e-04,3.15093786e-04
79,-4.74133333e-01,0.00000000e+00,4.09134968e-18,5.52914503e-04,5.52914503e-04
80,-4.14866667e-01,0.00000000e+00,5.10687897e-18,8.51739994e-04,8.51739994e-04
81,-3.55600000e-01,0.00000000e+00,6.49449951e-18,1.20850470e-03,1.20850470e-03
82,-2.96333333e-01,0.00000000e+00,6.92012329e-18,1.62016528e-03,1.62016528e-03
83,-2.37066667e-01,0.00000000e+00,7.26453710e-18,2.08367084e-03,2.08367084e-03
84,-1.77800000e-01,0.00000000e+00,9.68769100e-18,2.59597173e-03,2.59597173e-03
85,-1.18533333e-01,0.00000000e+00,1.12276848e-17,3.15401829e-03,3.15401829e-03
86,-5.92666667e-02,0.00000000e+00,1.16458940e-17,3.75476077e-03,3.75476077e-03
87,0.00000000e+00,0.00000000e+00,1.61379520e-17,4.39514949e-03,4.39514949e-03
88,5.92666667e-02,0.00000000e+00,2.21503232e-17,5.07213473e-03,5.07213473e-03
89,1.18533333e-01,0.00000000e+00,2.41478867e-17,5.78266677e-03,5.78266677e-03
90,1.77800000e-01,0.00000000e+00,2.59092852e-17,6.52369591e-03,6.52369591e-03
91,2.37066667e-01,0.00000000e+00,2.96977679e-17,7.29217244e-03,7.29217244e-03
92,2.96333333e-01,0.00000000e+00,3.18035746e-17,8.08504665e-03,8.08504665e-03
93,3.55600000e-01,0.00000000e+00,3.45785276e-17,8.89926884e-03,8.89926884e-03
94,4.14866667e-01,0.00000000e+00,3.22366659e-17,9.73178923e-03,9.73178923e-03
95,4.74133333e-01,0.00000000e+00,3.08208595e-17,1.05795584e-02,1.05795584e-02
96,5.33400000e-01,0.00000000e+00,3.25329304e-17,1.14395264e-02,1.14395264e-02
97,5.92666667e-01,0.00000000e+00,2.90692340e-17,1.23086386e-02,1.23086386e-02
98,6.51933333e-01,0.00000000e+00,2.54401811e-17,1.31838855e-02,1.31838855e-02
99,7.11200000e-01,0.00000000e+00,2.78805572e-17,1.40620494e-02,1.40620494e-02
