node,x_m,y_m,ux_m,uy_m,u_mag_m
0,-7.11200000e-01,-5.08000000e-02,0.00000000e+00,0.00000000e+00,0.00000000e+00
1,-6.40080000e-01,-5.08000000e-02,-7.09187752e-05,-7.29797624e-05,1.01762068e-04
2,-5.68960000e-01,-5.08000000e-02,-1.19507976e-04,-2.19180158e-04,2.49643943e-04
3,-4.97840000e-01,-5.08000000e-02,-1.48514246e-04,-4.19661885e-04,4.45165788e-04
4,-4.26720000e-01,-5.08000000e-02,-1.59843133e-04,-6.46429207e-04,6.65898301e-04
5,-3.55600000e-01,-5.08000000e-02,-1.56167497e-04,-8.76907009e-04,8.90704323e-04
6,-2.84480000e-01,-5.08000000e-02,-1.39964298e-04,-1.09177929e-03,1.10071432e-03
7,-2.13360000e-01,-5.08000000e-02,-1.13740683e-04,-1.27526931e-03,1.28033150e-03
8,-1.42240000e-01,-5.08000000e-02,-8.00022148e-05,-1.41510089e-03,1.41736053e-03
9,-7.11200000e-02,-5.08000000e-02,-4.12536123e-05,-1.50250697e-03,1.50307320e-03
10,-1.11022302e-16,-5.08000000e-02,-7.14594997e-18,-1.53222682e-03,1.53222682e-03
11,7.11200000e-02,-5.08000000e-02,4.12536123e-05,-1.50250697e-03,1.50307320e-03
12,1.42240000e-01,-5.08000000e-02,8.00022148e-05,-1.41510089e-03,1.41736053e-03
13,2.13360000e-01,-5.08000000e-02,1.13740683e-04,-1.27526931e-03,1.28033150e-03
14,2.84480000e-01,-5.08000000e-02,1.39964298e-04,-1.09177929e-03,1.10071432e-03
15,3.55600000e-01,-5.08000000e-02,1.56167497e-04,-8.76907009e-04,8.90704323e-04
16,4.26720000e-01,-5.08000000e-02,1.59843133e-04,-6.46429207e-04,6.65898301e-04
17,4.97840000e-01,-5.08000000e-02,1.48514246e-04,-4.19661885e-04,4.45165788e-04
18,5.68960000e-01,-5.08000000e-02,1.19507976e-04,-2.19180158e-04,2.49643943e-04
19,6.40080000e-01,-5.08000000e-02,7.09187752e-05,-7.29797624e-05,1.01762068e-04
20,7.11200000e-01,-5.08000000e-02,0.00000000e+00,0.00000000e+00,0.00000000e+00
21,-7.11200000e-01,-3.04800000e-02,0.00000000e+00,0.00000000e+00,0.00000000e+00
22,-6.40080000e-01,-3.04800000e-02,-3.98924901e-05,-6.73468097e-05,7.82751783e-05
23,-5.68960000e-01,-3.04800000e-02,-7.04393057e-05,-2.16542929e-04,2.27711519e-04
24,-4.97840000e-01,-3.04800000e-02,-8.77249153e-05,-4.18001799e-04,4.27107907e-04
25,-4.26720000e-01,-3.04800000e-02,-9.47729001e-05,-6.45948669e-04,6.52864140e-04
