element,n1,n2,n3,n4,sigma_x_pa,sigma_y_pa,tau_xy_pa,sigma_vm_pa
1.0000000000e+00,1.0000000000e+00,4.0000000000e+00,5.0000000000e+00,2.0000000000e+00,1.0000000000e+06,1.1458061450e+05,8.7060943847e+03,9.4803770545e+05
2.0000000000e+00,2.0000000000e+00,5.0000000000e+00,6.0000000000e+00,3.0000000000e+00,1.0000000000e+06,1.1458061450e+05,-8.7060943847e+03,9.4803770545e+05
3.0000000000e+00,4.0000000000e+00,7.0000000000e+00,8.0000000000e+00,5.0000000000e+00,1.0000000000e+06,-2.7328355138e+04,-5.0658985781e+03,1.0139783943e+06
4.0000000000e+00,5.0000000000e+00,8.0000000000e+00,9.0000000000e+00,6.0000000000e+00,1.0000000000e+06,-2.7328355138e+04,5.0658985781e+03,1.0139783943e+06
5.0000000000e+00,7.0000000000e+00,1.0000000000e+01,1.1000000000e+01,8.0000000000e+00,1.0000000000e+06,6.3063436955e+03,1.9251392744e+03,9.9686736568e+05
6.0000000000e+00,8.0000000000e+00,1.1000000000e+01,1.2000000000e+01,9.0000000000e+00,1.0000000000e+06,6.3063436955e+03,-1.9251392744e+03,9.9686736568e+05
7.0000000000e+00,1.0000000000e+01,1.3000000000e+01,1.4000000000e+01,1.1000000000e+01,1.0000000000e+06,-1.3858268357e+03,-6.1672224221e+02,1.0006942032e+06
8.0000000000e+00,1.1000000000e+01,1.4000000000e+01,1.5000000000e+01,1.2000000000e+01,1.0000000000e+06,-1.3858268357e+03,6.1672224221e+02,1.0006942032e+06
9.0000000000e+00,1.3000000000e+01,1.6000000000e+01,1.7000000000e+01,1.4000000000e+01,1.0000000000e+06,2.3346863071e+02,1.3706846686e+02,9.9988331431e+05
1.0000000000e+01,1.4000000000e+01,1.7000000000e+01,1.8000000000e+01,1.5000000000e+01,1.0000000000e+06,2.3346863071e+02,-1.3706846686e+02,9.9988331431e+05
