node,x_m,y_m,ux_m,uy_m,u_mag_m
1.0000000000e+00,-7.1120000000e-01,-5.0800000000e-02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.0000000000e+00,-7.1120000000e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.0000000000e+00,-7.1120000000e-01,5.0800000000e-02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
4.0000000000e+00,-4.2672000000e-01,-5.0800000000e-02,5.6155846789e-05,1.5796279761e-04,1.6764762019e-04
5.0000000000e+00,-4.2672000000e-01,0.0000000000e+00,2.7695262842e-06,1.5607383984e-04,1.5609841050e-04
6.0000000000e+00,-4.2672000000e-01,5.0800000000e-02,-5.0595293416e-05,1.5758220022e-04,1.6550538826e-04
7.0000000000e+00,-1.4224000000e-01,-5.0800000000e-02,1.0097233665e-04,5.8126451558e-04,5.8996936347e-04
8.0000000000e+00,-1.4224000000e-01,0.0000000000e+00,5.6747466642e-06,5.8026946637e-04,5.8029721381e-04
9.0000000000e+00,-1.4224000000e-01,5.0800000000e-02,-8.9633256605e-05,5.8097322897e-04,5.8784693031e-04
1.0000000000e+01,1.4224000000e-01,-5.0800000000e-02,1.3369271124e-04,1.2059308158e-03,1.2133189496e-03
1.1000000000e+01,1.4224000000e-01,0.0000000000e+00,8.5394488306e-06,1.2050998534e-03,1.2051301087e-03
1.2000000000e+01,1.4224000000e-01,5.0800000000e-02,-1.1661005460e-04,1.2056192580e-03,1.2112455160e-03
1.3000000000e+01,4.2672000000e-01,-5.0800000000e-02,1.5449166211e-04,1.9642450497e-03,1.9703112163e-03
1.4000000000e+01,4.2672000000e-01,0.0000000000e+00,1.1415582260e-05,1.9638038665e-03,1.9638370456e-03
1.5000000000e+01,4.2672000000e-01,5.0800000000e-02,-1.3166176558e-04,1.9639379740e-03,1.9683463075e-03
1.6000000000e+01,7.1120000000e-01,-5.0800000000e-02,1.6336241264e-04,2.7896427489e-03,2.7944219339e-03
1.7000000000e+01,7.1120000000e-01,0.0000000000e+00,1.4288560121e-05,2.7893909830e-03,2.7894275791e-03
1.8000000000e+01,7.1120000000e-01,5.0800000000e-02,-1.3478454910e-04,2.7893345150e-03,2.7925891053e-03
