theta_deg,max_abs_sigma_x_pa,max_abs_sigma_y_pa,max_sigma_vm_pa
0.00000000e+00,1.00344614e+06,1.30848397e+04,1.00304396e+06
5.00000000e+00,1.00574228e+06,2.12483941e+04,1.00573159e+06
1.00000000e+01,1.01222940e+06,4.41749437e+04,1.01203279e+06
1.50000000e+01,1.02144135e+06,7.80387438e+04,1.01923898e+06
2.00000000e+01,1.03002603e+06,1.17636670e+05,1.02451559e+06
2.50000000e+01,1.03676215e+06,1.57558900e+05,1.03136077e+06
3.00000000e+01,1.05045672e+06,1.96747496e+05,1.03489537e+06
3.50000000e+01,1.06838380e+06,2.51037778e+05,1.03449958e+06
4.00000000e+01,1.09055506e+06,3.10261339e+05,1.03609003e+06
4.50000000e+01,1.11530032e+06,3.69694694e+05,1.06907227e+06
5.00000000e+01,1.13901457e+06,4.23632110e+05,1.09812635e+06
5.50000000e+01,1.15647456e+06,4.64777473e+05,1.11538079e+06
6.00000000e+01,1.16184895e+06,4.85031959e+05,1.11439897e+06
6.50000000e+01,1.15051556e+06,4.76824852e+05,1.09228516e+06
7.00000000e+01,1.12162852e+06,4.35116473e+05,1.05207886e+06
7.50000000e+01,1.08066521e+06,3.59904475e+05,1.02419867e+06
8.00000000e+01,1.03973333e+06,2.59023242e+05,1.02689603e+06
8.50000000e+01,1.01227782e+06,1.55118822e+05,1.01998171e+06
9.00000000e+01,1.00126233e+06,1.02258048e+05,1.01419950e+06
