element,n1,n2,n3,n4,sigma_x_pa,sigma_y_pa,tau_xy_pa,sigma_vm_pa
0,0,1,22,21,4.67533841e+07,5.54139144e+05,6.33171675e+05,4.64917287e+07
1,1,2,23,22,4.41002801e+07,-1.18163580e+05,3.95100739e+05,4.41647826e+07
2,2,3,24,23,4.17033262e+07,3.26875974e+04,3.86837441e+05,4.16923762e+07
3,3,4,25,24,3.93397228e+07,-7.14017012e+03,3.74438745e+05,3.93486384e+07
4,4,5,26,25,3.69944370e+07,2.01316407e+03,3.73595070e+05,3.69990894e+07
5,5,6,27,26,3.46519085e+07,-4.36433987e+02,3.72818047e+05,3.46581429e+07
6,6,7,28,27,3.23106112e+07,1.26127920e+02,3.72739733e+05,3.23169975e+07
7,7,8,29,28,2.99695184e+07,-2.70952384e+01,3.72689737e+05,2.99764831e+07
8,8,9,30,29,2.76285074e+07,8.00587578e+00,3.72683410e+05,2.76360431e+07
9,9,10,31,30,2.52875104e+07,-1.74271101e+00,3.72680209e+05,2.52957486e+07
10,10,11,32,31,2.29465188e+07,6.68450263e-01,3.72679679e+05,2.29555958e+07
11,11,12,33,32,2.06055281e+07,-6.98400338e-01,3.72679496e+05,2.06156366e+07
12,12,13,34,33,1.82645394e+07,2.82004547e+00,3.72678164e+05,1.82759408e+07
13,13,14,35,34,1.59235527e+07,-1.07259029e+01,3.72679151e+05,1.59366361e+07
14,14,15,36,35,1.35825912e+07,4.98977752e+01,3.72656998e+05,1.35978942e+07
15,15,16,37,36,1.12416488e+07,-1.97470782e+02,3.72687626e+05,1.12602654e+07
16,16,17,38,37,8.90110503e+06,9.06514143e+02,3.72302155e+05,8.92398057e+06
17,17,18,39,38,6.56061948e+06,-3.66786623e+03,3.73042437e+05,6.59418584e+06
18,18,19,40,39,4.22648988e+06,1.67503172e+04,3.65996279e+05,4.26550842e+06
19,19,20,41,40,1.88726925e+06,-6.75699307e+04,3.79393694e+05,2.03118003e+06
20,21,22,43,42,2.25156691e+07,2.87874014e+05,7.59123869e+05,2.24117237e+07
21,22,23,44,43,2.21469283e+07,-3.04339038e+04,8.78076589e+05,2.22142845e+07
22,23,24,45,44,2.11198704e+07,1.26680588e+04,8.70868639e+05,2.11673516e+07
23,24,25,46,45,2.00045171e+07,-5.89499364e+02,8.74701971e+05,2.00620987e+07
24,25,26,47,46,1.88448557e+07,5.45919870e+02,8.74113028e+05,1.89053040e+07
25,26,27,48,47,1.76781505e+07,3.42078389e+01,8.74336500e+05,1.77428800e+07
26,27,28,49,48,1.65084516e+07,2.12179974e+01,8.74305532e+05,1.65777518e+07
27,28,29,50,49,1.53382176e+07,5.98115884e+00,8.74320306e+05,1.54127913e+07
28,29,30,51,50,1.41677797e+07,5.91391329e-01,8.74319087e+05,1.42484833e+07
29,30,31,52,51,1.29973022e+07,5.42424747e-01,8.74320219e+05,1.30852270e+07
30,31,32,53,52,1.18268106e+07,1.42009842e-01,8.74320268e+05,1.19233701e+07
31,32,33,54,53,1.06563157e+07,-4.90631600e-01,8.74320307e+05,1.07633813e+07
32,33,34,55,54,9.48581581e+06,3.06892222e+00,8.74320712e+05,9.60593476e+06
33,34,35,56,55,8.31531104e+06,-1.12744578e+01,8.74319345e+05,8.45208816e+06
34,35,36,57,56,7.14474309e+06,5.99973787e+01,8.74326406e+05,7.30344200e+06
35,36,37,58,57,5.97413744e+06,-2.32594935e+02,8.74299885e+05,6.16318981e+06
36,37,38,59,58,4.80252009e+06,1.17052101e+03,8.74431991e+05,5.03512394e+06
37,38,39,60,59,3.63092798e+06,-4.71083011e+03,8.73940750e+05,3.93599825e+06
38,39,40,61,60,2.44274588e+06,2.28550715e+04,8.76729759e+05,2.86664714e+06
39,40,41,62,61,1.26635413e+06,-9.37773569e+04,8.72194367e+05,2.00334005e+06
40,42,43,64,63,7.05487883e+05,9.25237888e+03,7.61257317e+05,1.49325464e+06
41,43,44,65,64,7.08013915e+05,-1.14454544e+03,9.86587383e+05,1.84990793e+06
42,44,45,66,65,7.07618616e+05,2.33222163e+01,1.01998977e+06,1.90311455e+06
43,45,46,67,66,7.07316930e+05,-1.19073557e+01,1.03709531e+06,1.93054544e+06
44,46,47,68,67,7.07203817e+05,-1.09787243e+01,1.04006262e+06,1.93528701e+06
45,47,48,69,68,7.07146299e+05,-1.81115987e+00,1.04120043e+06,1.93709891e+06
46,48,49,70,69,7.07124148e+05,-1.61354023e+00,1.04143300e+06,1.93746581e+06
47,49,50,71,70,7.07114042e+05,-4.69914238e-01,1.04150943e+06,1.93758516e+06
48,50,51,72,71,7.07109911e+05,-2.52858446e-01,1.04152703e+06,1.93761200e+06
49,51,52,73,72,7.07108105e+05,-9.54268188e-02,1.04153225e+06,1.93761973e+06
50,52,53,74,73,7.07107348e+05,-4.34504769e-02,1.04153367e+06,1.93762174e+06
