node,x_m,y_m,ux_m,uy_m,u_mag_m
0,-7.11200000e-01,-5.08000000e-02,0.00000000e+00,0.00000000e+00,0.00000000e+00
1,-6.40080000e-01,-5.08000000e-02,2.91329902e-05,3.38700651e-05,4.46756358e-05
2,-5.68960000e-01,-5.08000000e-02,5.60533305e-05,1.03797474e-04,1.17965637e-04
3,-4.97840000e-01,-5.08000000e-02,8.14226433e-05,2.10448590e-04,2.25650739e-04
4,-4.26720000e-01,-5.08000000e-02,1.05324013e-04,3.50957020e-04,3.66420492e-04
5,-3.55600000e-01,-5.08000000e-02,1.27789749e-04,5.23473934e-04,5.38846156e-04
6,-2.84480000e-01,-5.08000000e-02,1.48825844e-04,7.25950798e-04,7.41049049e-04
7,-2.13360000e-01,-5.08000000e-02,1.68434375e-04,9.56398170e-04,9.71116676e-04
8,-1.42240000e-01,-5.08000000e-02,1.86615799e-04,1.21281528e-03,1.22708857e-03
9,-7.11200000e-02,-5.08000000e-02,2.03370253e-04,1.49320489e-03,1.50699048e-03
10,-1.11022302e-16,-5.08000000e-02,2.18697771e-04,1.79556913e-03,1.80883864e-03
11,7.11200000e-02,-5.08000000e-02,2.32598361e-04,2.11791032e-03,2.13064453e-03
12,1.42240000e-01,-5.08000000e-02,2.45072027e-04,2.45823076e-03,2.47041672e-03
13,2.13360000e-01,-5.08000000e-02,2.56118772e-04,2.81453274e-03,2.82616195e-03
14,2.84480000e-01,-5.08000000e-02,2.65738598e-04,3.18481866e-03,3.19588593e-03
15,3.55600000e-01,-5.08000000e-02,2.73931561e-04,3.56709049e-03,3.57759320e-03
16,4.26720000e-01,-5.08000000e-02,2.80697658e-04,3.95935225e-03,3.96928979e-03
17,4.97840000e-01,-5.08000000e-02,2.86037804e-04,4.35959984e-03,4.36897338e-03
18,5.68960000e-01,-5.08000000e-02,2.89951394e-04,4.76586718e-03,4.77467923e-03
19,6.40080000e-01,-5.08000000e-02,2.92454961e-04,5.17603352e-03,5.18428905e-03
20,7.11200000e-01,-5.08000000e-02,2.93541649e-04,5.58870218e-03,5.59640588e-03
21,-7.11200000e-01,-3.04800000e-02,0.00000000e+00,0.00000000e+00,0.00000000e+00
22,-6.40080000e-01,-3.04800000e-02,1.63168076e-05,3.17426778e-05,3.56908364e-05
23,-5.68960000e-01,-3.04800000e-02,3.24371364e-05,1.02280449e-04,1.07300783e-04
24,-4.97840000e-01,-3.04800000e-02,4.77308183e-05,2.08888381e-04,2.14272226e-04
25,-4.26720000e-01,-3.04800000e-02,6.21978764e-05,3.49517354e-04,3.55008389e-04
26,-3.55600000e-01,-3.04800000e-02,7.58108712e-05,5.22114871e-04,5.27590017e-04
27,-2.84480000e-01,-3.04800000e-02,8.85695792e-05,7.24682416e-04,7.30074773e-04
28,-2.13360000e-01,-3.04800000e-02,1.00472323e-04,9.55217995e-04,9.60487431e-04
29,-1.42240000e-01,-3.04800000e-02,1.11519036e-04,1.21172394e-03,1.21684486e-03
30,-7.11200000e-02,-3.04800000e-02,1.21709611e-04,1.49220224e-03,1.49715756e-03
31,-1.11022302e-16,-3.04800000e-02,1.31044040e-04,1.79465520e-03,1.79943319e-03
32,7.11200000e-02,-3.04800000e-02,1.39522315e-04,2.11708510e-03,2.12167759e-03
33,1.42240000e-01,-3.04800000e-02,1.47144437e-04,2.45749425e-03,2.46189550e-03
34,2.13360000e-01,-3.04800000e-02,1.53910401e-04,2.81388495e-03,2.81809101e-03
35,2.84480000e-01,-3.04800000e-02,1.59820211e-04,3.18425954e-03,3.18826776e-03
36,3.55600000e-01,-3.04800000e-02,1.64873819e-04,3.56662029e-03,3.57042906e-03
37,4.26720000e-01,-3.04800000e-02,1.69071326e-04,3.95896993e-03,3.96257845e-03
38,4.97840000e-01,-3.04800000e-02,1.72411849e-04,4.35930985e-03,4.36271798e-03
39,5.68960000e-01,-3.04800000e-02,1.74897554e-04,4.76565055e-03,4.76885881e-03
40,6.40080000e-01,-3.04800000e-02,1.76511478e-04,5.17597262e-03,5.17898145e-03
41,7.11200000e-01,-3.04800000e-02,1.77283296e-04,5.58844736e-03,5.59125865e-03
42,-7.11200000e-01,-1.01600000e-02,0.00000000e+00,0.00000000e+00,0.00000000e+00
43,-6.40080000e-01,-1.01600000e-02,5.56550233e-06,3.07718540e-05,3.12711019e-05
44,-5.68960000e-01,-1.01600000e-02,1.10523026e-05,1.01494942e-04,1.02094939e-04
45,-4.97840000e-01,-1.01600000e-02,1.63526655e-05,2.08105549e-04,2.08747046e-04
46,-4.26720000e-01,-1.01600000e-02,2.13954074e-05,3.48782501e-04,3.49438115e-04
47,-3.55600000e-01,-1.01600000e-02,2.61609379e-05,5.21422833e-04,5.22078697e-04
48,-2.84480000e-01,-1.01600000e-02,3.06430477e-05,7.24034682e-04,7.24682839e-04
49,-2.13360000e-01,-1.01600000e-02,3.48403625e-05,9.54614578e-04,9.55250147e-04
50,-1.42240000e-01,-1.01600000e-02,3.87524270e-05,1.21116486e-03,1.21178466e-03
51,-7.11200000e-02,-1.01600000e-02,4.23791480e-05,1.49168752e-03,1.49228940e-03
52,-1.11022302e-16,-1.01600000e-02,4.57204929e-05,1.79418483e-03,1.79476727e-03
53,7.11200000e-02,-1.01600000e-02,4.87764555e-05,2.11665909e-03,2.11722102e-03
54,1.42240000e-01,-1.01600000e-02,5.15470332e-05,2.45711259e-03,2.45765323e-03
55,2.13360000e-01,-1.01600000e-02,5.40322234e-05,2.81354767e-03,2.81406645e-03
56,2.84480000e-01,-1.01600000e-02,5.62320219e-05,3.18396657e-03,3.18446309e-03
57,3.55600000e-01,-1.01600000e-02,5.81463939e-05,3.56637191e-03,3.56684589e-03
