theta_deg,sx_case1_pa,sx_case2_pa,sx_case3_pa,sx_case4_pa,sx_case5_pa,sy_case1_pa,sy_case2_pa,sy_case3_pa,sy_case4_pa,sy_case5_pa,vm_case1_pa,vm_case2_pa,vm_case3_pa,vm_case4_pa,vm_case5_pa,worst_vm_cases2to5_pa
0.0000000000e+00,1.0034461438e+06,3.3426921716e+07,4.6753384094e+07,5.6893680610e+07,6.5115823729e+07,1.3084839693e+04,3.9614820154e+05,5.5413914432e+05,6.7436642018e+05,7.7188870112e+05,1.0030439594e+06,3.3239735329e+07,4.6491728655e+07,5.6575388262e+07,6.4751713420e+07,6.4751713420e+07
5.0000000000e+00,1.0057422770e+06,3.9181085605e+07,5.4889812139e+07,6.6857888686e+07,7.6620174486e+07,2.1248394132e+04,7.9084168418e+05,1.1087936421e+06,1.3511831457e+06,1.5494761745e+06,1.0057315887e+06,3.9026315205e+07,5.4677992915e+07,6.6603480754e+07,7.6334357311e+07,7.6334357311e+07
1.0000000000e+01,1.0122293981e+06,4.2314531598e+07,5.9317815978e+07,7.2278689227e+07,8.2875830449e+07,4.4174943725e+04,1.6746616251e+06,2.3486699774e+06,2.8626203521e+06,3.2835422674e+06,1.0120327905e+06,4.2397067267e+07,5.9451472758e+07,7.2454432567e+07,8.3097868177e+07,8.3097868177e+07
1.5000000000e+01,1.0214413451e+06,4.2285405039e+07,5.9271856350e+07,7.2219028602e+07,8.2801621772e+07,7.8038743776e+04,3.0161926862e+06,4.2308791690e+06,5.1572382283e+06,5.9164059519e+06,1.0192389813e+06,4.2871110468e+07,6.0130172080e+07,7.3291600955e+07,8.4073999089e+07,8.4073999089e+07
2.0000000000e+01,1.0300260311e+06,3.9794112105e+07,5.5744192334e+07,6.7895397978e+07,7.7804166792e+07,1.1763667034e+05,4.6472481606e+06,6.5186869329e+06,7.9458879634e+06,9.1154335033e+06,1.0245155879e+06,4.1104874199e+07,5.7640809616e+07,7.0248832528e+07,8.0570183788e+07,8.0570183788e+07
2.5000000000e+01,1.0367621517e+06,3.5945133221e+07,5.0299057005e+07,6.1225183177e+07,7.0099994744e+07,1.5755890038e+05,6.3670949972e+06,8.9286602378e+06,1.0881752038e+07,1.2480652409e+07,1.0313607657e+06,3.8093231880e+07,5.3389631772e+07,6.5047904999e+07,7.4573735650e+07,7.4573735650e+07
3.0000000000e+01,1.0504567155e+06,3.1712212196e+07,4.4315436856e+07,5.3898637730e+07,6.1642966811e+07,1.9674749640e+05,8.0261542533e+06,1.1249351687e+07,1.3705924394e+07,1.5713203162e+07,1.0348953720e+06,3.4681039245e+07,4.8571439301e+07,5.9152130580e+07,6.7774306499e+07,6.7774306499e+07
3.5000000000e+01,1.0683838000e+06,2.7720411404e+07,3.8678184425e+07,4.7000103096e+07,5.3686155118e+07,2.5103777799e+05,9.5408457859e+06,1.3362846791e+07,1.6274191870e+07,1.8646881386e+07,1.0344995835e+06,3.1373048345e+07,4.3900500494e+07,5.3436608399e+07,6.1182838316e+07,6.1182838316e+07
4.0000000000e+01,1.0905550617e+06,2.4282521120e+07,3.3829237828e+07,4.1070547884e+07,4.6853754510e+07,3.1026133907e+05,1.0865051047e+07,1.5204899460e+07,1.8508559101e+07,2.1192713691e+07,1.0360900312e+06,2.8373569239e+07,3.9666439116e+07,4.8256532638e+07,5.5210221016e+07,5.5210221016e+07
4.5000000000e+01,1.1153003216e+06,2.1529789149e+07,2.9952539209e+07,3.6334073222e+07,4.1402671717e+07,3.6969469434e+05,1.1956895934e+07,1.6718236338e+07,2.0340256564e+07,2.3273461874e+07,1.0690722676e+06,2.5707567904e+07,3.5905242874e+07,4.3656458041e+07,4.9908654164e+07,4.9908654164e+07
