theta_deg,case2_sigma_vm_pa,case3_sigma_vm_pa,case4_sigma_vm_pa,case5_sigma_vm_pa,worst_of_2_to_5_pa
0.00000000e+00,3.32397353e+07,4.64917287e+07,5.65753883e+07,6.47517134e+07,6.47517134e+07
5.00000000e+00,3.90263152e+07,5.46779929e+07,6.66034808e+07,7.63343573e+07,7.63343573e+07
1.00000000e+01,4.23970673e+07,5.94514728e+07,7.24544326e+07,8.30978682e+07,8.30978682e+07
1.50000000e+01,4.28711105e+07,6.01301721e+07,7.32916010e+07,8.40739991e+07,8.40739991e+07
2.00000000e+01,4.11048742e+07,5.76408096e+07,7.02488325e+07,8.05701838e+07,8.05701838e+07
2.50000000e+01,3.80932319e+07,5.33896318e+07,6.50479050e+07,7.45737356e+07,7.45737356e+07
3.00000000e+01,3.46810392e+07,4.85714393e+07,5.91521306e+07,6.77743065e+07,6.77743065e+07
3.50000000e+01,3.13730483e+07,4.39005005e+07,5.34366084e+07,6.11828383e+07,6.11828383e+07
4.00000000e+01,2.83735692e+07,3.96664391e+07,4.82565326e+07,5.52102210e+07,5.52102210e+07
4.50000000e+01,2.57075679e+07,3.59052429e+07,4.36564580e+07,4.99086542e+07,4.99086542e+07
5.00000000e+01,2.33271863e+07,3.25495403e+07,3.95540903e+07,4.51834560e+07,4.51834560e+07
5.50000000e+01,2.11967389e+07,2.95482918e+07,3.58865112e+07,4.09613277e+07,4.09613277e+07
6.00000000e+01,1.93907416e+07,2.70048739e+07,3.27789083e+07,3.73845722e+07,3.73845722e+07
6.50000000e+01,1.82274882e+07,2.53660612e+07,3.07760978e+07,3.50785643e+07,3.50785643e+07
7.00000000e+01,2.05172869e+07,2.84917745e+07,3.45246004e+07,3.92810888e+07,3.92810888e+07
7.50000000e+01,2.33849502e+07,3.25412317e+07,3.94798836e+07,4.49962177e+07,4.49962177e+07
8.00000000e+01,2.60700664e+07,3.63371622e+07,4.41279418e+07,5.03617741e+07,5.03617741e+07
8.50000000e+01,2.80056923e+07,3.90781421e+07,4.74874825e+07,5.43297927e+07,5.43297927e+07
9.00000000e+01,2.86772030e+07,4.00319180e+07,4.86585255e+07,5.56018388e+07,5.56018388e+07
