element,node_i,node_j,strain,stress_pa
1.0000000000e+00,1.0000000000e+00,2.0000000000e+00,2.8848094240e-05,2.0193665968e+06
2.0000000000e+00,1.0000000000e+00,3.0000000000e+00,3.1724303961e-05,2.2207012773e+06
3.0000000000e+00,1.0000000000e+00,4.0000000000e+00,3.1724303961e-05,2.2207012773e+06
4.0000000000e+00,1.0000000000e+00,5.0000000000e+00,2.8848094240e-05,2.0193665968e+06
5.0000000000e+00,1.0000000000e+00,6.0000000000e+00,-1.5890123146e-04,-1.1123086202e+07
6.0000000000e+00,1.0000000000e+00,7.0000000000e+00,2.6483538576e-05,1.8538477003e+06
7.0000000000e+00,2.0000000000e+00,3.0000000000e+00,0.0000000000e+00,0.0000000000e+00
8.0000000000e+00,3.0000000000e+00,4.0000000000e+00,0.0000000000e+00,0.0000000000e+00
9.0000000000e+00,4.0000000000e+00,5.0000000000e+00,-0.0000000000e+00,-0.0000000000e+00
1.0000000000e+01,5.0000000000e+00,6.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.1000000000e+01,6.0000000000e+00,7.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.2000000000e+01,7.0000000000e+00,2.0000000000e+00,0.0000000000e+00,0.0000000000e+00
